,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
201,Władysławowo,54.79,18.4,50.74,87,100,9.17,PL,1603314148
202,Cayenne,4.93,-52.33,86.0,66,15,8.05,GF,1603314131
203,Kaitangata,-46.28,169.85,53.56,61,96,3.02,NZ,1603314121
204,Miles City,46.41,-105.84,32.0,82,90,11.41,US,1603314151
205,Fujin,47.26,132.03,41.41,75,11,10.02,CN,1603314153
206,Saint Paul Harbor,57.79,-152.41,44.6,52,1,10.29,US,1603314119
207,Libreville,0.39,9.45,76.93,90,80,5.93,GA,1603314156
208,Banjar,-8.19,114.97,78.8,88,40,2.24,ID,1603313811
209,Tumut,-35.3,148.22,58.89,73,0,1.9,AU,1603314119
210,Pisco,-13.7,-76.22,69.46,64,1,20.8,PE,1603313690
211,Batticaloa,7.71,81.69,78.55,76,20,7.52,LK,1603314162
212,Darłowo,54.42,16.41,52.0,80,91,19.22,PL,1603314163
213,Kruisfontein,-34.0,24.73,55.0,82,0,3.87,ZA,1603314092
214,Innisfail,-17.53,146.03,73.08,81,41,4.0,AU,1603313968
215,Hirado,33.36,129.55,68.11,80,100,7.0,JP,1603314167
216,Luk Pu,23.17,112.28,61.27,77,42,3.51,CN,1603314168
217,Bluff,-46.6,168.33,54.0,67,100,4.0,NZ,1603314113
218,Buala,-8.14,159.59,82.24,74,97,7.11,SB,1603314137
219,Bengkulu,-3.8,102.27,77.32,84,100,3.76,ID,1603314172
220,Smoky Lake,54.12,-112.47,26.01,68,95,4.0,CA,1603314173
221,Wanning,18.8,110.4,69.87,83,100,13.8,CN,1603314174
222,Konstantinovka,49.62,127.98,32.61,88,96,11.97,RU,1603314176
223,Torbay,47.67,-52.73,49.14,76,75,6.93,CA,1603314120
224,Urengoy,65.97,78.37,19.26,98,76,7.85,RU,1603314178
225,Kangayam,11.0,77.57,73.4,83,40,6.93,IN,1603314179
226,Coolum Beach,-26.53,153.1,65.01,95,91,1.01,AU,1603314180
227,Natal,-5.79,-35.21,77.0,94,75,11.41,BR,1603313919
228,Comodoro Rivadavia,-45.87,-67.5,57.2,76,40,13.87,AR,1603313806
229,Grindavik,63.84,-22.43,41.0,80,75,23.04,IS,1603314104
230,Ileza,61.05,43.9,29.21,99,96,5.64,RU,1603314185
231,Turukhansk,65.82,87.98,22.96,98,97,3.71,RU,1603313574
232,Bathsheba,13.22,-59.52,86.0,70,20,12.75,BB,1603314115
233,Puerto Ayora,-0.74,-90.35,73.92,65,20,17.22,EC,1603314063
234,Dingle,11.0,122.67,76.32,91,100,6.98,PH,1603314190
235,Paso de los Toros,-32.82,-56.52,62.6,77,90,13.87,UY,1603314067
236,Mossamedes,-15.2,12.15,70.12,81,100,2.91,AO,1603314168
237,Clyde River,70.47,-68.59,15.8,85,1,2.82,CA,1603314081
238,Ormara,25.21,64.64,79.54,35,1,6.87,PK,1603314196
239,Kasongo-Lunda,-6.47,16.82,71.65,91,99,1.07,CD,1603314128
240,Avarua,-21.21,-159.78,75.2,88,45,6.93,CK,1603313913
241,Hasaki,35.73,140.83,57.13,87,75,5.82,JP,1603313668
242,Khatanga,71.97,102.5,3.97,92,0,7.83,RU,1603314066
243,Isoka,-10.16,32.63,69.35,55,81,4.18,ZM,1603314202
244,Makakilo City,21.35,-158.09,81.48,74,75,6.93,US,1603314113
245,Cravo Norte,6.3,-70.2,79.38,85,100,3.96,CO,1603314205
246,Mezen',65.85,44.24,25.79,97,5,1.97,RU,1603313749
247,Necochea,-38.55,-58.74,57.0,55,0,17.0,AR,1603314207
248,Chokurdakh,70.63,147.92,9.77,94,99,4.34,RU,1603314118
249,Linguère,15.4,-15.12,88.54,15,9,5.3,SN,1603314210
250,Diffa,13.32,12.61,86.29,13,28,8.41,NE,1603314211
251,Te Anau,-45.42,167.72,49.24,67,60,2.55,NZ,1603314208
252,Colón,9.36,-79.9,83.3,79,40,6.93,PA,1603314032
253,Haines Junction,60.75,-137.51,25.93,79,4,3.2,CA,1603314216
255,Barranca de Upía,4.57,-72.97,85.19,80,18,1.45,CO,1603314218
256,Broken Hill,-31.95,141.43,57.2,41,18,6.93,AU,1603314171
257,Yantzaza,-3.83,-78.76,76.53,64,69,1.57,EC,1603314222
258,Gigmoto,13.78,124.39,81.14,82,99,10.25,PH,1603314125
259,Karasjok,69.47,25.51,24.8,85,40,21.92,NO,1603314224
260,Merauke,-8.47,140.33,76.69,87,59,10.85,ID,1603314225
261,Semnan,35.57,53.4,57.69,57,0,6.6,IR,1603314227
262,Barranca,-10.75,-77.77,67.12,73,10,10.36,PE,1603314228
263,Hay River,60.82,-115.8,24.8,79,90,18.34,CA,1603314187
264,Mirny,62.54,113.96,12.2,92,40,6.71,RU,1603314230
265,Port Antonio,18.18,-76.46,80.29,88,75,23.04,JM,1603314231
266,Sosnowiec,50.29,19.1,50.32,99,62,7.09,PL,1603314233
267,Omboué,-1.57,9.26,77.14,87,100,6.71,GA,1603314234
268,Krasnosel'kup,65.7,82.47,17.64,97,62,8.97,RU,1603314092
269,Czersk,53.8,17.98,50.04,88,100,15.01,PL,1603314236
270,Presidencia Roque Sáenz Peña,-26.79,-60.44,94.51,32,53,8.23,AR,1603314123
271,Uvat,59.14,68.9,29.61,99,90,4.76,RU,1603314240
272,Aleksandrovskiy Zavod,50.92,117.94,19.99,84,0,3.11,RU,1603314241
273,Gold Coast,-28.0,153.43,68.11,82,90,3.09,AU,1603314242
274,Port Elizabeth,-33.92,25.57,62.6,93,0,5.82,ZA,1603314110
275,Ilulissat,69.22,-51.1,28.4,68,75,5.82,GL,1603314111
276,Marrakesh,31.63,-8.01,66.2,72,75,5.82,MA,1603314111
277,Carupano,10.67,-63.26,84.76,72,2,11.74,VE,1603314247
278,Visnes,59.36,5.22,50.7,93,100,10.29,NO,1603314249
279,Bela,25.93,81.98,73.83,58,0,2.53,IN,1603314252
280,Saldanha,-33.01,17.94,53.6,81,0,10.29,ZA,1603313707
281,Kavaratti,10.57,72.64,80.82,78,100,15.1,IN,1603313645
282,Forbes,-33.38,148.02,60.01,92,1,4.47,AU,1603314257
283,Dunedin,-45.87,170.5,54.0,67,100,7.0,NZ,1603314216
284,Biak,-0.91,122.88,75.92,74,87,4.29,ID,1603313577
285,Saint-Leu,-21.15,55.28,68.32,73,10,11.41,RE,1603314263
288,Cururupu,-1.83,-44.87,79.29,75,74,4.83,BR,1603314267
289,Arman',59.7,150.17,28.69,83,1,6.51,RU,1603314268
290,Tanabe,33.73,135.37,61.0,83,71,9.8,JP,1603314270
291,Pestovo,58.59,35.8,32.27,98,68,4.03,RU,1603314273
292,Vila Velha,-20.33,-40.29,77.02,83,75,5.82,BR,1603314274
293,Lagoa,39.05,-27.98,63.14,70,16,19.22,PT,1603314275
294,Ponta do Sol,32.67,-17.1,61.39,55,40,6.93,PT,1603314141
295,Batagay-Alyta,67.8,130.41,10.27,93,100,0.76,RU,1603314277
296,Batemans Bay,-35.72,150.18,57.78,95,15,2.91,AU,1603314279
297,Pevek,69.7,170.31,29.57,99,97,1.05,RU,1603314117
298,Ratnagiri,16.98,73.3,77.68,87,48,3.87,IN,1603314281
299,Nicoya,10.15,-85.45,80.6,83,75,8.05,CR,1603314023
300,Nemuro,43.32,145.57,55.13,69,100,20.92,JP,1603314161
301,Pio IX,-6.84,-40.58,85.35,22,31,5.03,BR,1603314285
302,Shubarkuduk,49.14,56.49,36.86,79,33,12.77,KZ,1603314286
303,Mogzon,51.74,111.96,21.25,97,70,5.46,RU,1603314287
304,Yeppoon,-23.13,150.73,72.82,78,56,8.43,AU,1603314231
305,Barabinsk,55.36,78.36,42.67,62,94,9.93,RU,1603314290
306,Province of Palermo,37.82,13.58,63.68,76,7,3.65,IT,1603314292
307,Margate,51.38,1.39,57.0,90,63,1.99,GB,1603314099
308,São Félix do Xingu,-6.64,-51.99,87.66,48,75,2.71,BR,1603313575
309,Raudeberg,61.99,5.14,44.01,88,99,18.32,NO,1603314297
310,Yar-Sale,66.83,70.83,19.6,97,98,13.04,RU,1603314155
311,Lupiro,-8.38,36.67,78.04,52,99,6.98,TZ,1603314299
